,s.no,projects,description,previous_status,status,otc,ntl_cost,profit,margin,salesperson/lead_generation,msd_team
28,29,The Women University (Multan),Firewall requirement,Approval in Process (Pending on Sales),Approval in Process (Pending on Sales),127,52,75,142.83,Jahangir Ali,Hammad Rafiq
29,30,Bestwestern- Switches for Hotel card Entry,Enterprise Network Solution,Approval in Process (Pending on Sales),Halted (Project Cancelled),131,54,77,142.59,Waqas Malik,Bilal Jafery
30,31,NUST Hostels,Enterprise Network Solution,Approval in Process (Tender Evaluation in process),Halted (Lost the Tender),135,56,79,142.37,Niazi,Hammad Rafiq
31,32,Nighat Rizvi Residence,Enterprise Network Solution,BOQ in Progress,BOQ in Progress,139,57,82,142.16,Armughan Riaz,Muhammad Aqdas Basharat
32,33,BAT GBS Lahore,,BOQ in Progress,Approval in Process (Pending on Sales),143,59,84,141.96,Armughan,Rehan Rauf
33,34,FFCL,Enterprise Network Solution,BOQ in Progress,Halt (Customer not responding),147,61,86,141.78,Armughan,Muhammad Aqdas Basharat
34,35,Falcon Complex CCTV,CCTV Surveillance Solution,BOQ in progress,Approval in Process (Pending at Customer End),151,63,89,141.6,Niazi,Muhammad Aqdas Basharat
35,36,IDC F8,Enterprise Wireless Solution,BOQ in Progress,Approval in Process,155,64,91,141.43,Niazi,Hammad Rafiq
36,37,Fin Leap,Enterprise Network Solution,BOQ in Progress,Work in Progress,159,66,93,141.27,Qaisar Mehmood,Muhammad Aqdas Basharat
37,38,Axian Firewall Renewal,Enterprise Firewall Renewal,BOQ in Progress,Approval in Process,163,68,95,141.12,Armughan Riaz,Muhammad Aqdas Basharat
38,39,Island06,Enterprise Network Solution,BOQ in Progress,Halted (Budget issue - Switched to STD Solution),167,69,98,140.98,-,Hammad Rafiq
39,40,Bestwestern Additional requirement,Enterprise Network Solution,Work in Progress,Work in Progress,171,71,100,140.85,Waqas Malik,Muhammad Aqdas Basharat
40,41,Bestwestern Bahria Town,Enterprise Network Solution,Work in Progress,Work in Progress,175,73,102,140.72,Waqas Malik,Hammad Rafiq
41,42,President house,Enterprise Network Solution,,Approval in Process,179,74,105,140.59,Haroon Ashraf,Hammad Rafiq
42,43,Radio PK,Enterprise Network Solution,,Approval in Process,183,76,107,140.47,Haroon Ashraf,Hammad Rafiq
43,44,Tech Sphere,Enterprise Network Solution,,Completed,187,78,109,140.36,Saad Ahmed,Bilal Jafery
44,45,PAEC Directorate,Enterprise Network Solution,,Approval in Process,191,80,112,140.25,Mubashir Hanif,Bilal Jafery
45,46,AWT Firewall RFP,Enterprise Network Solution,,Approval in Process,195,81,114,140.15,Niazi,Bilal Jafery
46,47,AWT Wireless Requirement,Enterprise Network Solution,,BOQ in Progress,199,83,116,140.05,Niazi,Bilal Jafery
47,48,Tech Sphere,CCTV Surveillance Solution,,Approval in Process,203,85,118,139.95,Saad Ahmed,Bilal Jafery
48,49,F-8 Lit Fiber Customer,Enterprise Network Solution,,Work in Progress,207,86,121,139.86,Haroon Ashraf,Bilal Jafery
49,50,OGTI,Enterprise Network Solution,,Approval in Process,211,88,123,139.77,Zain Humayun,Bilal Jafery
50,51,House B-20 Chakshahzad Farmhouse,Enterprise Network Solution,,BOQ in Progress,215,90,125,139.69,Rao Usama,Bilal Jafery
